	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16	sp17	sp18	sp19	sp20	sp21	sp22	sp23	sp24	sp25	sp26	sp27	sp28	sp29	sp30	sp31	sp32	sp33	sp34	sp35	sp36	sp37	sp38	sp39	sp40	sp41	sp42	sp43	sp44	sp45	sp46	sp47	sp48	sp49	sp50	sp51	sp52	sp53	sp54	sp55	sp56	sp57	sp58	sp59	sp60	sp61	sp62	sp63	sp64	sp65	sp66
F1	0	0	1	5	0	0	0	1	0	0	0	0	0	1	0	0	237	61	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	12	1	0	0	0	0	2	5	0	0	0	0	4	2	0	0	0	0	34	0	0	0
F2	0	0	0	1	0	0	0	1	1	0	0	0	0	5	0	0	98	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	9	2	0	0	0	0	31	0	0	0
F4	1	0	0	8	0	0	0	2	0	0	1	1	0	6	0	0	0	294	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	1	0	4	1	0	0	4	0	40	0	0	1
F5	0	6	0	3	0	0	0	0	0	0	0	0	0	2	0	1	0	95	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	7	0	0	0
F6	1	0	3	0	0	0	0	2	0	0	0	0	0	1	0	0	586	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	1	0	54	0	0	0	22	0	53	0	0	0
F8	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	220	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	27	7	0	0	0	0	14	0	0	0
F9	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	49	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	12	1	0	0	2	0	0	0	0	0
F11	0	0	0	16	0	0	0	2	0	0	0	0	0	0	0	0	11	105	1	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	4	0	0	2	0	13	1	0	0	52	0	30	0	0	0
V12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V13	0	0	1	0	0	0	0	8	1	0	2	0	0	3	0	0	73	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	1	0	0	0	0	8	0	0	0	4	0	17	0	0	0
V14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
V15	0	0	0	2	0	0	0	2	0	0	0	0	0	6	0	1	163	142	106	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	7	0	0	0	0	0	35	0	0	0
V18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	441	166	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	31	0	0	0	0	0	3	0	0	0
V19	0	0	5	8	0	0	0	3	0	0	0	0	0	0	0	6	0	0	415	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0
V41	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	6	5	28	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	14	0	0	0
A22	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	42	292	192	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	12	0	3	0	0	0	1	0	0	0
A23	0	0	0	6	0	0	0	1	0	0	0	0	0	3	0	0	459	230	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0	0	2	0	0	178	2	0	0
A24	0	0	0	0	1	0	2	4	0	0	0	0	0	0	0	0	0	54	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A25	0	0	0	9	0	0	0	1	0	0	0	0	0	2	4	0	0	127	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A26	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	9	459	84	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0
A27	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	33	13	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
A29	0	0	2	0	0	3	1	1	0	0	0	0	0	0	0	0	190	358	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
A30	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U31	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	3	43	64	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
U33	0	0	2	28	0	0	0	10	0	0	0	0	0	0	0	22	0	5	44	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	4	0	1	0
U35	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	3	22	2	14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0
U37	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	5	19	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	2	2	0	0	4	0	9	0	0	0
U39	0	0	2	18	0	0	0	1	0	0	0	0	0	0	0	3	219	440	78	1	0	2	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	4	0	0	0	2	0	3	0	0	0
U40	0	0	0	60	0	0	0	2	0	0	0	0	5	0	0	0	85	401	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	3	0	0	1	13	0	9	0	0	0
